destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bonaire_Sint_Eustatius_and_Saba,Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cabo_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,C?te_d'Ivoire,Croatia,Cuba,Cura?ao,Cyprus,Czech_Republic,Democratic_People's_Republic_of_Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Ethiopia,Faeroe_Islands,Falkland_Islands_(Malvinas),Fiji,Finland,France,French_Guiana,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran_(Islamic_Republic_of),Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_People's_Democratic_Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall_Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia_(Federated_States_of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Republic_of_Korea,Republic_of_Moldova,R?union,Romania,Russian_Federation,Rwanda,Saint_Helena,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Seychelles,Sierra_Leone,Singapore,Sint_Maarten_(Dutch_part),Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian_Arab_Republic,Tajikistan,Thailand,The_former_Yugoslav_Republic_of_Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Tuvalu,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom_of_Great_Britain_and_Northern_Ireland,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,247,,,1849,,,,,,,,438,,,,,,,143,2042,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,107,320,,,,,39,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096,,,19,,,,,,,,,,,,141,217,,177,,,,,,,,,,,,,225,,,,,,,,,,125,,,,,,,,,,,721,,,,,,,,,,,,,,115,,,,,,,,,425,,,,,1144,,,,,,
Australia,2729,984,665,64,333,310,,21,13155,388,26,,22977,99,178,493,2315,301,260,4620,34,17,351,25,509,,22312,153,2926,6,1620,1755,30,15,20,20651,68,27452,3,6,15,,29145,97526,57852,1699,2106,,134,2295,236,34,48565,361,35,24036,17760,50,255,9739,34,6,23,1085,40628,8774,,1272,2731,1336,17,78,37472,9718,15533,6,236,20,18,17,126452,994,409,148090,,89,9,40,217,33,13,426,43,,124,29103,342,69928,39102,17599,5202,51999,731,7756,271095,662,21752,2175,297,4680,428,919,101,11172,10144,81858,43,63,1268,16,4818,125,137,360,72135,80,24,57407,26,20,16,20215,,777,6,37,36,1297,,984,386,9884,265,463,404,104866,1190,298309,725,15,959,243,6,2622,45,5949,,118,,277,3795,90580,74954,19115,46,97,23735,15,51,12241,8365,44,31,17,16,,22,5709,,,586,149,44312,2610,120,27151,,2697,7227,1052,361,58684,0,15097,46660,2753,1218,68,117,5694,9905,5351,41,15834,40724,9518,12,53,6163,920,411,33246,25,,71,925,12428,561,1111203,1422,53575,,11795,245,861,606,136918,,,221,2312,8265
Austria,4748,1733,711,,1,188,,4,839,1681,,1371,,592,13,12,1508,12,918,1418,22,44,10,14,280,,92349,15,2857,,3,8666,67,53,22,528,360,1402,,16,7,,693,9703,154,9,864,,252,,99,118,43774,485,,178,30293,1550,386,782,4,28,1722,364,8202,38,6,57,206,703,,,10,880,4939,,,14,346,1827,100832,1363,,2205,,8,,1,206,166,38,10,35,,54,14405,104,7478,669,8535,3043,544,,1412,18566,115,1636,412,608,542,,140,357,69,445,1015,3,150,254,208,501,420,42,21,266,5,54,60,,,19,63,,832,1,14,993,12031,,1061,37,39,101,1,323,4668,,244,115,17,4673,,,533,17,2651,1,34,33,125,930,7633,33851,949,3,15,,980,,24968,17059,117,,1,8,,6,3,1,1,263,184,107506,24,147,158,,14965,12724,8,670,1538,,2271,540,152,350,11,13,1956,8704,1828,157,3088,12075,,120,,4,38,2033,88108,77,,7,150,4534,97,6067,86,6088,,155,415,4,504,1842,,,52,63,165
Azerbaijan,254,,,,,,,,,202586,,,,,,,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,,,,,,,69766,389,,,,,,,,,,,,,,,,,,,2088,,,,,,,,,4940,,,,3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,,,39234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,,,2894,2352,,,,3842,,,,,,,23232,,,,,,,,
Bahamas,,,,,,,,13,8,,,27,15,,,,,234,,8,31,,34,,,,,0,36,5,,0,,,,,,730,9,,,,9,67,46,,28,,,,10,,,48,,,,,,8,,35,44,10,9,5,,,0,,,,,,38,,,,,,161,23,,72,,28,,,7,,,419,10894,,7,,,160,8,,,55,,,78,2792,5,,,6,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,36,,14,9,,30,,,13,,15,,17,,,43,64,12,1,,,,,,0,4,,,13,25,,20,,,,,,,,,,,,,,,21,,32,24,,,,0,11,85,,,,,,,,,278,,,,2080,,0,0,,1964,,4247,,2,,,16,,,,,,0
Bahrain,215,,,,,,,,,,,,,,,,20442,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,21908,,,508,,357,,,,,57,,,,,,,,,,,,,,,,,,,,,,,60505,6151,,,,,,,,,3442,,,,1728,,,,728,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,228,174,,,,,187,,,,,20949,,,,,,7934,,,,8,,,,,,,,,,,,,,,61,,,,,,,,,,340,,522,,5863,1531,4235,,,,,1777,,294,,,,,,,155,1291,,,,,,771,1614,,453,,,,,,,,,5876,,
Bangladesh,,,,,,,,72,,,,,,,,89,,,,,,,,,,,,,552,,,,,,,12924,,,,,,,,140163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13339,70627,,,,,,,,9042,,,,,,,58722,,,,,,,,,,,92533,,,,,,,,,,,,,,,,,125851,,,9670,,,,,,,,,4240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10556,,,,,,,,,,,,,,,,,,15503,,,,,,,,,,,,,,,9090,,28559,,,,,,40088,,,,,
Barbados,,,,,,,,226,,,,24,,,55,,,,,,0,,0,,,,,,,,,,,,,,,668,,,,,,0,,,,,,,,,,0,,,,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,565,,,,,,2557,0,,,,,441,,,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3317,,3676,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1750,,,,,,,,,2988,,1112,,,,,,,,,,,
Belarus,140,,27,,,,,,76,6645,,21,44,15651,,,,,,28,,,,,,,,,69,,,30,,,,,,85,,,,,,,,,,,,,,,,22,,,83,97,,130,,,,,,,,,3429,11,,,,1185,,,,,,9868,32,,,164,,,,,,,,,,,,291,,24,,25,,16,,192,10,,,13,81148,,,,6071,,11085,32,,,,,18380,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,49,,24,,,,,,,235,,,,22,8826,,10,791522,,,,,,,,,,,,16,,,,,25,,,,,,31,,,,,,190,22,40,6587,,,,,,,,,11,6339,,,,261845,15,340,,42,,21,17154,,,182,,,14,,
Belgium,45,1363,10413,,,647,,,276,45,,353,1010,45,2,2,268,5,581,,,989,,59,247,,1966,8,895,,,909,294,382,128,164,1592,1526,,68,94,,1178,2683,,,564,,989,,60,330,361,144,,63,283,391,10944,2320,49,26,592,959,630,68,989,15,79,989,,,5,505,90212,,,164,92,1171,26386,1457,,20270,,,,,1008,627,35,20,242,,33,729,128,2419,639,1645,45,1972,,1692,242108,90,2808,203,45,242,,7,45,105,106,1528,6,204,80,5,109,4600,258,13,190,1,144,246,,,555,616,,828,,5,41,1304,,135422,21,27,7,0,45,61047,,125,32,989,942,,,761,1,1647,0,35,3,62,617,3007,4588,14810,,,45,173,,2261,530,716,,,,,,,16,8,22,717,5417,11,989,145,,619,176,,989,652,,51265,124,13,110,61,,1812,2347,699,13,1723,545,,989,,,,6112,80005,5,,,96,2298,,21480,106,11241,,61,45,,204,395,,,60,81,49
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,,,,,551,47,,,,,,,,,,,,,,,,,,,,,6691,,,,,,,,,,,,,,,45,,,,,,,,12650,,,,35,,2764,,,247,,,,,,,,445,,,,,,,,,,35,,,,,,,,,,,,,,,,,,3025,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,1901,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,,,,,,,,367,,,,,,,,537,,,7735,,,,,,,,,,,,,,,,,,,,,,,506,,,,,,,5747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,,,,,,,,,,,,,,,,,,,,,,,9802,19972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17244,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,37,26,,,,,,,18,,,,,,,,,,,,,,,,,,2295,,,,,,85,,,,,,,,,,11,,,,,,23,,,9,,,,,,,,,,,,106,,,,,,228,17,,100,,,,,,,,51,1028,,,,,156,,,,87,,15,81,316,109,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,13,,,,,,92,25,1530,,,,,,14,,,,,,,,,,,,,,,,,,,,,,33,,94,,,,,,,117,,,,,,,,,34,,26,,158,,,,,4590,,3468,,,,,,,,,,,
Bhutan,,,,,,,,,,,,12,,,,,24,,,,,,,,,,,,,,,,,,,,,17,,,,,,422,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,14,,,,,,12,,,,,,,,,,,,,,,,,20841,,,,,,,6,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,334,9,,11,,,,,,,,10,,,,,,9,,,,,15,,,,,,,,,,,,,,,,,,,8,,,,,,,,,15,,,,,11,11,,,28,,,,,,,,,,,,,,,17,,63,,,,,,,,,,,
Bolivia_(Plurinational_State_of),2,6,4,,2,6,,10,21923,0,0,74,170,0,9,0,5,7,0,268,991,0,0,,,13,0,,10558,,,16,,0,0,0,1,1765,,0,6,,4807,805,0,,651,,1,,102,4,0,105,110,9,129,122,5,21,,6,44,299,39,57,,0,0,4,,,0,75,491,0,,4,,0,1351,1,0,15,,1,,,146,4,,1,6,,232,50,2,125,12,21,2,22,0,79,883,5,1401,20,0,2,,2,0,0,0,64,6,1,2,2,0,2,2,0,5,,0,6,,,0,,,8125,,2,0,0,,6,0,1,,,0,2,0,34,66,1,7,0,,92,1,55,,92,0,1173,7138,14,193,37,33,6,555,0,,61,106,2,,1,,0,,,,,12,4,0,0,0,6,32,0,0,0,0,11,,1644,0,0,0,1,,200,325,23,0,2,0,,1,,0,4,0,2,0,,,2,0,0,580,1,3078,,402,0,2,369,1,,,1,0,1
Bonaire_Sint_Eustatius_and_Saba,,,,,,,168,321,14,,4376,,,,44,,,142,,,,,,,,,,,,0,,,,,,,,52,,,,,,23,58,,787,,,,,,,621,2367,,,,,,,1820,8195,,,,,,,,,,,,58,2,,,,,,,,,,5,61,,,,,389,4062,,,,,12,59,,,,,,24,450,76,,,,,,,,,312,,,,,,,,,,,,,,0,,,,10,,,,,,,,,,,,6705,,3,,,,,,2,,,,,,,,,,1328,23,,,,,,,,,2083,1,,39,,,,,,,,,,296,,,,,,,15,,,,2005,,,,,,,,,,,,23,,,,,,,,,50,,346,52,,,,454,,,,,,
Bosnia_and_Herzegovina,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21218,,,,,,,,,,,,,,,,,,,,,,259,,,,,,816,,,,,,,,,,,,,,,233,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,271,,,,,,,,,,,,16974,,,,,4681,2796,,,,,,,,,,,,,,,,2468,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,551,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,874,,,,,,,,,,,,,,,526,102,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,1967,,,,185,,,161,,,,,122,,,,,,,505,,,,,,100,713,,,,,,,,292,,,,,,,,,184,,286,,,188,,,,,108,,,116,,145,,,,,,,,137,,,,,,,,,,,,,,,,,,,,45,,,,,,,,5780,,,398,,,,108,129,,,,,,,,,,,,,,,,295,,,3289,460,603,,,,,,,,,,1991,4905
Brazil,0,,,,,4868,,,28350,,,297,4756,,,,,,,1887,,,,,15996,,,,,,,409,,,,,,970,,,,,22243,8532,,,2223,,,,388,,,442,,,1535,,,525,,,277,614,4192,405,,,,,,,,169,8096,742,,,,,25679,,,3523,,,,,53,,,1093,254,,280,5282,,697,,,,109,,2137,70081,24,86768,,,,,,,,,17987,,,,,,,,,,,,,,,,,,792,,,,,,,987,,,,,3535,,,329,,,,,230,,127,,974,,21394,5716,,13225,274924,,,,,,6604,11249,,,,,,,,,,,,,,,,,,,,,,,59188,,,,120,,457,2886,4434,,,,,,,,,,1031,,,,,,,3849,,11806,,23363,,,1220,,,,,,
British_Virgin_Islands,,,,,,,,388,,,,12,,,14,,,94,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,619,748,,,,,,,,,,,,12,,,,,,29,,,,,,,,,,,841,,,,,,20,,,,,,,,272,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,1555,274,,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,440,,674,,,,,,,,,,,
Brunei_Darussalam,,,,,,,,,,,,262,,,,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595,3324,,,,,,,,83,,,,,,,,,,,,,,,,,,40306,,,,,,,,,,,,,,,,,,,,3665,247,,119,,,,,,,,378,,,,,,7837,,,,,138,,,,,,,,,,,,,,,,,,,1499,,,,,,,,,676,,,,,,,,,6612,,,,,,,,,,,,,,,1996,,113,,,,,,,,,,,
Bulgaria,222,103,32,,0,4,10,1,7,1207,1,13,26,8,1,1,22,1,89,14,0,2,0,1,1,,18,7,8,21,0,,3,4,2,6,1,17,0,,1,,3,362,,,1,,10,,1,1,15,50,,103,162,1,3,10,1,0,5,1,30,1,,1,4,26,,,0,10,63,,,3,2,77,252,4,2,1246,1,,,,1,4,1,1,1,,0,70,1,163,1,98,171,4,,58,113,1,26,83,89,2,1,9,10,0,10,266,,1,34,1,9,2,0,,0,1,0,1,0,,1,0,,2,,1,23,7,,19,6,,1,0,1,12,,5,15,8,31,,,4,0,23,,4,1,0,7,10,423,3,,2,33,582,,143,6899,0,,,,,,1,1,,1,1,562,,0,2,,63,8,,1,9,,18,2,3,12,0,1,15,15,473,5,3,1018,,,0,0,,18,743,7,1,4,1,1671,1,59,7,139,,2,24,0,1,346,0,0,28,3,4
Burkina_Faso,,,,,,,,,,,,,,,,,,,,,,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37576,,,,,,,,,,,,,,,,,,,,,,,8275,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,,,,,,,,,,,,,,,,,,,,,,,,,6131,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36654,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,,,,11912,,,,,,,,,,,,
Cabo_Verde,,,,,,1588,,,5,,,,,,,,,,,14,,,,,,,,,77,,,,,,,,,,,,,,,30,,,,,,,,9,,69,,,,,,,,,,,,,,,,,,,,,102,,,11,7,,25,55,,,,,,,,60,539,,,,,,,,,,,,,,201,,2,,,,,,,,,,,,,,,5,,,,,9,,,,,,,4,,,,,,,51,,,,,62,,,,,84,,,,,,,,,,4,,,1132,,,,,,,55,,,,,,,,,2475,,141,,,19,,,,,,,,,30,,,,,,,18,,,,,11,,,,,,,,,,,28,,14,,188,20,,,,,,,,,,
