destination;Afghanistan;Albania;Algeria;American_Samoa;Andorra;Angola;Anguilla;Antigua_and_Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia_(Plurinational_State_of);Bonaire_Sint_Eustatius_and_Saba;Bosnia_and_Herzegovina;Botswana;Brazil;British_Virgin_Islands;Brunei_Darussalam;Bulgaria;Burkina_Faso;Burundi;Cabo_Verde;Cambodia;Cameroon;Canada;Cayman_Islands;Central_African_Republic;Chad;Channel_Islands;Chile;China;Hong_Kong;Macao;Colombia;Comoros;Congo;Cook_Islands;Costa_Rica;C?te_d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech_Republic;Democratic_People's_Republic_of_Korea;Democratic_Republic_of_the_Congo;Denmark;Djibouti;Dominica;Dominican_Republic;Ecuador;Egypt;El_Salvador;Equatorial_Guinea;Eritrea;Estonia;Ethiopia;Faeroe_Islands;Falkland_Islands_(Malvinas);Fiji;Finland;France;French_Guiana;French_Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy_See;Honduras;Hungary;Iceland;India;Indonesia;Iran_(Islamic_Republic_of);Iraq;Ireland;Isle_of_Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao_People's_Democratic_Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall_Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia_(Federated_States_of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New_Caledonia;New_Zealand;Nicaragua;Niger;Nigeria;Niue;Northern_Mariana_Islands;Norway;Oman;Pakistan;Palau;Panama;Papua_New_Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto_Rico;Qatar;Republic_of_Korea;Republic_of_Moldova;R?union;Romania;Russian_Federation;Rwanda;Saint_Helena;Saint_Kitts_and_Nevis;Saint_Lucia;Saint_Pierre_and_Miquelon;Saint_Vincent_and_the_Grenadines;Samoa;San_Marino;Sao_Tome_and_Principe;Saudi_Arabia;Senegal;Serbia;Seychelles;Sierra_Leone;Singapore;Sint_Maarten_(Dutch_part);Slovakia;Slovenia;Solomon_Islands;Somalia;South_Africa;South_Sudan;Spain;Sri_Lanka;State_of_Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian_Arab_Republic;Tajikistan;Thailand;The_former_Yugoslav_Republic_of_Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad_and_Tobago;Tunisia;Turkey;Turkmenistan;Turks_and_Caicos_Islands;Tuvalu;Uganda;Ukraine;United_Arab_Emirates;United_Kingdom_of_Great_Britain_and_Northern_Ireland;United_Republic_of_Tanzania;United_States_of_America;United_States_Virgin_Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela_(Bolivarian_Republic_of);Viet_Nam;Wallis_and_Futuna_Islands;Western_Sahara;Yemen;Zambia;Zimbabwe;;
Austria;5357;1955;802;;2;212;;5;947;1896;;1547;;668;15;13;1701;13;1036;1600;25;50;12;16;316;;104186;17;3223;;4;9777;76;60;25;596;407;1582;;18;8;;782;10934;174;10;975;;284;;112;133;49385;547;;201;34176;1749;436;882;5;32;1943;411;9253;43;7;65;232;793;;;11;993;5572;;;16;391;2061;113756;1538;;2488;;9;;1;232;188;43;12;39;;61;16251;117;8436;755;9629;3433;614;;1593;20946;130;1846;465;686;611;;158;403;78;502;1145;3;170;287;235;565;474;47;24;300;6;61;68;;;21;72;;939;1;16;1120;13573;;1197;42;44;114;1;365;5267;;275;130;20;5273;;;601;20;2991;1;39;37;142;1049;8611;38190;1071;4;17;;1106;;28168;19246;132;;2;9;;7;3;1;2;297;208;121286;27;166;179;;16884;14355;9;756;1736;;2562;610;172;395;13;15;2207;9820;2063;177;3484;13623;;136;;5;43;2294;99359;87;;8;170;5115;109;6845;98;6869;;175;469;5;569;2078;;;59;71;186;Serbia;121286
Azerbaijan;223;;;;;;;;;205368;;;;;;;;;549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;581;;;;;;;;;;;61233;341;;;;;;;;;;;;;;;;;;;1832;;;;;;;;;4336;;;;3061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;339;;;34436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;298;;;;;;;;;2540;2065;;;;3372;;;;;;;20391;;;;;;;;;Armenia;205368
Bahamas;;;;;;;;10;8;;;46;18;;;;;171;;14;22;;23;;;;;0;41;8;;0;;;;;;1040;9;;;;8;80;35;;30;;;;38;;;79;;;;;;22;;41;64;12;8;4;;;0;;;;;;89;;;;;;190;44;;63;;27;;;8;;;550;15759;;10;;;194;7;;;62;;;86;3282;22;;;5;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;;;;33;;16;8;;61;;;11;;13;;15;;;41;103;10;5;;;;;;12;14;;;12;41;;21;;;;;;;;;;;;;;;54;;40;16;;;;0;21;120;;;;;;;;;299;;;;1284;;0;0;;1834;;4294;;2;;;20;;;;;;0;Haiti;15759
Bahrain;236;;;;;;;;;;;;;;;;24630;;;;;;;;;;;;;;;;;;;;;;;;154;;;;;;;;;;;;;;;;;;;;;;;;23628;;;558;;392;;;;;118;;;;;;;;;;;;;;;;;;;;;;;74599;7640;;;;;;;;;4019;;;;1913;;;;800;;;;;;;;;;;;;;;;;;;;;;;;282;;;;;250;156;;;;;205;;;;;25280;;;;;;10206;;;;13;;;;;;;;;;;;;;;108;;;;;;;;;;374;;586;;5119;1684;4760;;;;;1955;;323;;;;;;;170;1420;;;;;;1359;1493;;498;;;;;;;;;6464;;;India;74599
Bangladesh;;;;;;;;7456;;;;;;;;10375;;;;;;;;;;;;;5387;;;;;;;13190;;;;;;;;131427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18075;84052;;;;;;;;9330;;;;;;;59555;;;;;;;;;;;126263;;;;;;;;;;;;;;;;;128499;;;11361;;;;;;;;;7022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9063;;;;;;;;;;;;;;;;;;11945;;;;;;;;;;;;;;;16056;;30085;;;;;;29184;;;;;;China;131427
Barbados;;;;;;;;246;;;;26;;;59;;;;;;0;;0;;;;;;;;;;;;;;;729;;;;;;0;;;;;;;;;;0;;;;;;;;492;;;;;;;;;;;;;;;;;;;;;;;;616;;;;;;2792;0;;;;;481;;;;;;;;679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3621;;4014;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1910;;;;;;;;;3262;;1213;;;;;;;;;;;;Saint_Vincent_and_the_Grenadines;4014
Belarus;216;;41;;;;;;92;6295;;25;53;14826;;;;;;33;;;;;;;;;83;;;47;;;;;;123;;;;;;;;;;;;;;;;34;;;91;80;;168;;;;;;;;;3397;18;;;;1688;;;;;;9348;50;;;139;;;;;;;;;;;;323;;37;;38;;20;;297;17;;;22;76868;;;;5751;;10983;50;;;;;18210;;;;;;;;;;;;;;;;136;;;;;;;;;;;;;;;;;56;;37;;;;;;;365;;;;26;8361;;17;749767;;;;;;;;;;;;27;;;;;26;;;;;;34;;;;;;271;26;63;6240;;;;;;;;;18;6005;;;;248032;19;409;;66;;25;16225;;;282;;;24;;;Russian_Federation;749767
Belgium;38;1354;9643;;;497;;;275;38;;488;1498;38;2;2;397;5;577;;;781;;59;247;;1953;8;1301;;;976;293;460;128;163;1640;1910;;67;94;;1196;3257;;;689;;781;;60;449;534;213;;63;415;390;11142;2791;49;26;588;956;626;67;781;15;78;781;;;5;1645;99667;;;163;92;1164;30435;1448;;19136;;;;;1001;625;34;20;240;;33;887;127;2904;694;1292;38;2655;;1661;222323;90;3265;118;38;241;;7;38;105;106;1260;6;203;80;5;109;4445;258;13;190;1;144;245;;;551;712;;823;;5;41;1296;;121372;21;27;7;0;38;74759;;124;31;781;936;;;975;1;1783;0;34;3;62;613;3037;5743;20152;;;38;172;;2326;1522;683;;;;;;;16;8;22;712;7572;11;781;308;;617;175;;781;648;;47385;124;13;110;61;;3084;2205;695;13;1712;806;;781;;;;4883;68285;5;;;96;2283;;24013;106;11547;;61;38;;203;523;;;60;81;49;Italy;222323
Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515;;;;;;823;49;;;;;;;;;;;;;;;;;;;;;6661;;;;;;;;;;;;;;;47;;;;;;;;14350;;;;37;;4100;;;256;;;;;;;;424;;;;;;;;;;37;;;;;;;;;;;;;;;;;;2782;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;297;;1908;;;;;;;;;;;;Guatemala;14350
Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3331;;;;;;;;374;;;;;;;;789;;;7612;;;;;;;;;;;;;;;;;;;;;;;743;;;;;;;5656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;;;;;;;;;;;;;;;;;;;;;;;25546;22139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21733;;;;;;;;;;;;;;;;;;;;;;;;;;Niger;25546
Bermuda;;;;;;;;;;;;44;27;;;;;;;19;;;;;;;;;;;;;;;;;;2437;;;;;;128;;;;;;;;;;15;;;;;;26;;;11;;;;;;;;;;;;114;;;;;;231;32;;101;;;;;;;;61;1160;;;;;220;;;;91;;24;79;374;188;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;18;;;;;;142;27;1647;;;;;;17;;;;;;;;;;;;;;;;;;;;;;62;;102;;;;;;;118;;;;;;;;;41;;43;;136;;;;;4726;;3454;;;;;;;;;;;;United_Kingdom_of_Great_Britain_and_Northern_Ireland;4726
Bhutan;;;;;;;;;;;;15;;;;;28;;;;;;;;;;;;;;;;;;;;;20;;;;;;496;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;17;;;;;;15;;;;;;;;;;;;;;;;;24485;;;;;;;7;;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;392;11;;13;;;;;;;;12;;;;;;10;;;;;18;;;;;;;;;;;;;;;;;;;10;;;;;;;;;18;;;;;13;13;;;33;;;;;;;;;;;;;;;19;;74;;;;;;;;;;;;India;24485
Bolivia_(Plurinational_State_of);1;3;7;;1;5;;5;25141;1;2;115;169;1;5;1;11;4;2;320;962;0;1;;;17;0;;12746;;;16;;1;1;0;2;1728;;0;4;;4622;675;8;;1002;;3;;122;3;28;311;138;6;76;63;3;55;;3;22;521;33;82;;1;2;4;;;1;59;597;1;;2;;1;1524;2;1;12;;2;;;144;3;;4;7;;216;44;3;123;14;29;4;41;0;130;894;4;1455;17;1;6;;4;0;8;1;56;4;1;4;2;3;5;4;3;6;;0;4;;;0;;;8770;;1;1;0;;6;0;1;;;1;14;1;35;76;1;10;41;;46;1;42;;95;1;2216;8306;26;182;38;37;6;564;1;;31;54;2;;1;;0;;;;;9;2;0;0;0;6;39;6;4;0;0;6;;1651;3;0;0;1;;177;442;12;2;6;0;;2;;1;9;1;8;1;;;1;57;1;619;1;3385;;430;3;1;458;3;;;1;2;6;Argentina;25141
Bonaire_Sint_Eustatius_and_Saba;;;;;;;351;669;28;;3739;;;;91;;;296;;;;;;;;;;;;874;;;;;;;;108;;;;;;48;121;;1641;;;;;;;1295;2310;;;;;;;960;8267;;;;;;;;;;;;121;4;;;;;;;;;;10;127;;;;;812;3574;;;;;25;123;;;;;;49;938;159;;;;;;;;;651;;;;;;;;;;;;;;96;;;;21;;;;;;;;;;;;6742;;7;;;;;;4;;;;;;;;;;1147;48;;;;;;;;;1312;1;;80;;;;;;;;;;289;;;;;;;30;;;;2167;;;;;;;;;;;;48;;;;;;;;;104;;722;108;;;;947;;;;;;;Dominican_Republic;8267
Bosnia_and_Herzegovina;;;;;;;;;;;;;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27272;;;;;;;;;;;;;;;;;;;;;;238;;;;;;812;;;;;;;;;;;;;;;237;;;;;;;;;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;524;228;;;;;;;;;;;;21815;;;;;5736;3080;;;;;;;;;;;;;;;;3126;;;;;;;;;;;;;;;;;;;;;;;;;;;;Croatia;27272
Botswana;;;;;;889;;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;104;;;;;;1055;;;;;;;;;;;;;;;849;98;;;;;;;;;;;;;;;;;;;;;320;;;;;;;;;;;;;;;;;2375;;;;178;;;155;;;;;179;;;;;;;816;;;;;;161;1150;;;;;;;;471;;;;;;;;;297;;462;;;181;;;;;187;;;111;;175;;;;;;;;132;;;;;;;;;;;;;;;;;;;;67;;;;;;;;9329;;;480;;;;174;124;;;;;;;;;;;;;;;;411;;;2034;743;313;;;;;;;;;;3213;7917;South_Africa;9329
Brazil;0;;;;;5612;;;27974;;;372;3988;;;;;;;1649;;;;;18217;;;;;;;346;;;;;;1113;;;;;19708;9429;;;3196;;;;314;;;894;;;1347;;;489;;;190;903;3796;443;;;;;;;;167;8249;683;;;;;22641;;;3133;;;;;106;;;1350;135;;208;4074;;730;;;;165;;1961;62623;41;78935;;;;;;;;;17058;;;;;;;;;;;;;;;;;;1027;;;;;;;1162;;;;;3522;;;415;;;;;187;;150;;767;;25143;8278;;10351;244319;;;;;;5069;8882;;;;;;;;;;;;;;;;;;;;;;;51448;;;;177;;587;2919;3864;;;;;;;;;;862;;;;;;;3947;;12894;;24081;;;1694;;;;;;;Portugal;244319
British_Virgin_Islands;;;;;;;;456;;;;14;;;16;;;111;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;;;;;;;;;728;879;;;;;;;;;;;;14;;;;;;35;;;;;;;;;;;989;;;;;;24;;;;;;;;320;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;1828;323;;1230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243;;;;;;;;;517;;792;;;;;;;;;;;;Saint_Kitts_and_Nevis;1828
Brunei_Darussalam;;;;;;;;;;;;372;;;;;908;;;;;;;;;;;;;;;;;;;;;;;;;;;1718;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2742;4551;;;;;;;;138;;;;;;;;;;;;;;;;;;42782;;;;;;;;;;;;;;;;;;;;4337;268;;156;;;;;;;;574;;;;;;10226;;;;;141;;;;;;;;;;;;;;;;;;;1472;;;;;;;;;916;;;;;;;;;10047;;;;;;;;;;;;;;;1961;;129;;;;;;;;;;;;Malaysia;42782
Bulgaria;223;316;105;;0;4;16;2;30;1179;2;40;62;466;2;3;150;2;198;98;1;9;0;7;6;;36;11;25;34;0;;5;7;3;8;3;64;1;;2;;7;443;;;6;;9;;2;2;29;91;;126;313;1;6;21;2;0;8;4;50;2;;2;16;30;;;1;19;165;;;5;4;117;625;5;3;1945;2;;;;2;5;2;2;2;;1;122;34;149;6;127;265;5;;114;312;2;44;94;271;4;2;28;26;0;34;323;;2;67;2;30;3;1;;1;1;0;9;0;;2;0;;7;;2;29;11;;30;10;;2;1;2;72;;9;17;6;38;;;24;1;25;;4;2;1;10;15;558;24;;3;43;821;;1393;8936;1;;;;;;2;2;;8;3;895;;0;3;;107;14;;2;35;;346;4;2;17;0;2;37;46;606;29;5;1247;;;0;1;;30;1377;61;2;6;2;2451;14;692;8;352;;5;163;0;7;381;0;0;30;5;9;Russian_Federation;8936
Burkina_Faso;;;;;;;;;;;;;;;;;;;;;;2554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46731;;;;;;;;;;;;;;;;;;;;;;;10291;3161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2466;;;;;;;;;;;;;;;;;;;;;;;;;7625;;;;;;;;;;;;;;;;;;;;;;;;;;C?te_d'Ivoire;303170
